id,name,density_g_cm3,alpha_1e6_per_C,E_GPa,G_GPa,poisson,Sy_MPa,Su_MPa,tau_allow_MPa
ss400,SS400_steel,7.85,11.7,205,78.8,0.3,245,400,98
spcc,SPCC_coldrolled,7.85,12,210,80.8,0.3,240,350,96
sphc,SPHC_hotrolled,7.85,12,210,80.8,0.3,225,330,90
s15c,S15C_steel,7.85,11,205,78.8,0.3,270,450,108
s35c,S35C_steel,7.85,11,205,78.8,0.3,335,570,134
s45c,S45C_steel,7.85,11,205,78.8,0.3,340,570,136
s55c,S55C_steel,7.85,11,205,78.8,0.3,380,700,152
scm415,SCM415_chromoly,7.85,11.5,210,80.8,0.3,350,650,140
scm435,SCM435_chromoly,7.85,11.5,210,80.8,0.3,540,920,216
scm440,SCM440_chromoly,7.85,11.5,210,80.8,0.3,655,950,262
sncm439,SNCM439_nickelchromoly,7.85,12.3,205,78.8,0.3,930,1080,372
sus304,SUS304_austenitic,7.93,17.3,193,74.2,0.29,215,505,86
sus304l,SUS304L_lowC,7.93,17.3,193,74.2,0.29,170,485,68
sus316,SUS316_austenitic,7.98,16,193,74.2,0.3,205,515,82
sus316l,SUS316L_lowC,7.98,16,193,74.2,0.3,170,485,68
sus430,SUS430_ferritic,7.7,10.4,200,76.9,0.3,205,450,82
sus303,SUS303_freecut,7.93,17.3,193,74.2,0.29,240,600,96
sus403,SUS403_martensitic,7.74,9.9,200,76.9,0.3,245,470,98
sus631,SUS631_17-7PH,7.8,0.8,200,76.9,0.28,1035,1200,414
a1050,A1050_pureAl,2.71,23.8,70,26.9,0.33,25,60,8
a1100,A1100_commerciallyPure,2.71,23.6,69,26.5,0.33,35,105,12
a2017,A2017_duralumin,2.8,23.2,72,27.2,0.33,215,390,70
a2024,A2024_superDuralumin,2.78,23.2,73,27.4,0.33,325,470,113
a3003,A3003_AlMn,2.73,23.2,69,26.5,0.33,40,110,13
a5052,A5052_AlMg,2.68,23.8,70,26.9,0.33,190,260,66
a5083,A5083_marineAlMg,2.66,25,72,27.2,0.33,215,315,75
a6061,A6061_AlMgSi,2.7,23.4,69,26.5,0.33,275,310,96
a6063,A6063_AlMgSi_extrusion,2.7,23.6,69,26.5,0.33,150,240,50
a7075,A7075_superAlloy,2.81,23.5,72,27.2,0.33,505,570,177
c1100,C1100_OxygenFreeCopper,8.93,16.5,110,41.3,0.34,33,220,11
c1020,C1020_ToughPitchCopper,8.93,16.7,110,41.3,0.34,40,245,13
c2801,C2801_CartridgeBrass,8.53,20.5,103,38.4,0.34,110,350,38
c2680,C2680_YellowBrass,8.5,20.5,103,38.4,0.34,125,360,44
c3604,C3604_FreeCuttingBrass,8.5,20.9,97,36.2,0.34,205,360,82
c1720,C1720_BerylliumCopper,8.25,17,128,47.8,0.34,1100,1250,440
tp340,PureTitanium_Grade2,4.51,8.6,105,40.4,0.3,275,345,110
ti64,Ti6Al4V_Alloy,4.43,8.9,113,43.5,0.3,880,950,352
fc200,FC200_grayCastIron,7.2,10.5,110,45.8,0.2,130,200,52
fc250,FC250_grayCastIron,7.2,10.5,120,50,0.2,160,250,64
fcd400,FCD400_ductileCastIron,7.1,11,170,65.4,0.3,250,400,100
fcd450,FCD450_ductileCastIron,7.1,11,170,65.4,0.3,310,450,124
